,term,term_score,idf_score,REF_score,EPMC%coverage
48,positivism,1742.3147647999995,5.605802066295998,2,0.0182
49,interpretivism,136.2133228,7.537430036586509,0,0.0017
50,verification,2051.6223128999995,5.62040086571715,154,2.62958
51,hermeneutics,994.3523294,6.2878585601617845,8,0.02588
52,vignettes,8678.011441399989,4.51085950651685,9,0.26208000000000004
53,graph theory,87.48889940000002,8.17188200612782,6,0.7832600000000001
54,survey research,32987.583744799515,2.5649493574615367,25,14.0452
55,case study research,10251.261067699981,3.7612001156935615,29,41.9198
56,validity,36122.7796116008,2.5649493574615367,234,9.01422
57,construct validity,10767.105456799965,3.713572066704309,8,1.64372
58,applied research,1832.1097244000007,4.997212273764115,182,44.09758
59,data linkage,536.9369499999998,6.792344427470808,11,5.11416
60,automated text analysis,151.16193859999996,8.469052816088304,1,0.85708
61,attitude scales,3614.382365500008,4.875197323201151,0,0.43526000000000004
62,collage inquiry,0,11.727334985438429,0,0.0012
63,cluster sampling,432.55995999999976,6.3189681137464335,0,2.07606
64,contemplative inquiry,16.8982384,10.117872862176439,0,0.0041600000000000005
65,computational modeling,810.4618209000004,6.1158921254830325,3,2.14222
66,data visualization,688.4484872999997,6.284134161070802,0,5.16436
67,credibility,2435.7077699000047,5.4638318050256105,172,0.7709199999999999
68,ratio variables,585.8063812999999,6.38856140554563,0,9.05438
69,behaviorism,2720.4100783999993,5.198497031265826,0,0.04118
70,video research,4975.730422100006,4.442651256490317,2,4.0688
71,non-participant observation,27.8662019,9.162304922937627,1,1.2260799999999998
72,autoethnography,152.18980349999995,8.782783017393202,3,0.00288
73,feminist research,2627.3307951999977,5.1179938124167546,2,0.08038
74,photo elicitation,80.589924,8.63621989783788,3,0.01296
75,cronbach's alpha,44738.52193280018,2.8332133440562166,1,0.5845
76,nominal scales,342.97388049999995,6.670766320845875,0,0.2229
77,artistic inquiry,7347.661103,5.5683445037610975,1,0.024919999999999998
78,historical materialism,152.2617768,7.920446505142608,1,0.013040000000000001
79,classification,22136.70514729979,3.4011973816621555,250,16.05242
80,structural analysis,1236.7351272000008,5.472270673671472,15,17.68066
81,critical realism,1277.1278858999992,5.918893854273146,2,0.07488
82,auditing,602.3395110999999,6.5337888379333435,62,0.19654000000000002
83,idealism,587.8111557999998,6.495265555937007,9,0.04214
84,interview guides,888.9762810000003,5.942799375126701,0,0.1726
85,z-score,12806.7836043,3.7612001156935615,2,4.50862
86,safe fieldwork,0,11.727334985438429,0,0.0465
87,coefficient of variation,678.4060275999999,6.437751649736401,2,4.8231
88,data reconstruction,70.42739100000001,8.63621989783788,0,3.6254
89,interquartile range,630.6097332,6.2709884318582985,2,2.51832
90,replication,7813.656132799968,4.0943445622221,80,10.3178
91,semi-interquartile range,33.530092700000004,9.424725681616492,0,0.14758
92,factorial design,2950.196765599999,4.51085950651685,4,0.8459
93,f-tests,1810.234617499998,5.318119993844216,0,18.12282
94,simultaneous equations,124.2691408,7.7016523626422275,0,0.52064
95,double hermeneutic,110.63083350000002,8.261526448396468,0,0.0041600000000000005
96,poisson regression,344.43029920000015,7.344719054149673,4,0.8142199999999999
97,logical empiricism,932.7498952999997,6.07993319509559,1,0.01944
98,environmental stimuli,566.4671500999991,6.113682179832232,1,1.9877
99,matched pairs,7048.182255899995,4.189654742026425,1,2.44426
100,researcher development,183.21390400000007,7.05444965813294,5,1.46632
101,similarity measures,774.7766682000004,6.142037405587356,1,1.9240599999999999
102,quantitative data collection,2812.484537199997,4.804021044733257,2,6.15156
103,personal experience,8601.963366999958,3.5263605246161616,14,5.4229199999999995
104,axial coding,475.7571216000004,6.4183649359362125,0,0.26832
105,range,14911.911396,2.8332133440562166,3526,66.01595999999999
106,pareto chart,0,11.727334985438429,0,0.01196
107,quasi-experimental designs,3523.354440499998,4.852030263919617,0,0.14157999999999998
108,negative cases,435.96490070000004,6.315358001522335,1,20.964779999999998
109,wilcoxon test,994.9493524999997,6.045005314036013,0,3.01074
110,paired t-test,5428.0634405999845,4.4067192472642525,0,6.37134
111,photographs,6967.628987099997,4.454347296253506,191,2.81508
112,mann-whitney u test,1575.1284928000002,5.613128106388071,0,3.9282199999999996
113,memos,285.1376769000001,6.814542897259956,6,0.06427999999999999
114,oral history interviews,208.4342885,7.815207062189088,10,0.32952
115,central limit theorem,82.9325546,8.116417072794205,0,0.15095999999999998
116,probability distribution,637.7106326999998,6.495265555937007,11,8.3947
117,inscription,350.0823977999997,7.101675971619444,19,0.09118
118,induction,6123.925676200013,4.6443908991413725,105,23.071839999999998
119,semantic differentials,3645.0538474,4.969813299576002,0,0.0048
120,cultural relativism,375.33590090000007,6.716594773520978,0,0.0155
121,covert research,18.5117338,9.424725681616492,0,0.27914
122,visual representations,1286.1314268000008,5.641907070938113,16,0.9172600000000001
123,time-series design,228.9200572,7.238496840894365,0,7.38278
124,f-ratios,1058.2412206000004,5.752572638825632,0,7.32256
125,verstehen,156.1669628,8.17188200612782,0,0.00628
126,journal articles,2485.135801299996,4.709530201312334,282,17.62816
127,stakeholders,548.5965712000002,6.763884908562435,1041,1.4264
128,population variance,40059.735321000335,2.3978952727983707,1,7.027939999999999
129,methodology,4650.625548300031,4.07753744390572,1284,12.233139999999999
130,pearson's correlation coefficient,14121.777758699993,3.5553480614894135,0,1.6755
131,reasoning,15379.665418700031,3.1780538303479458,119,1.9973
132,abduction,849.5747874000003,6.556778356158043,11,0.60136
133,nominal variables,110.0882653,7.815207062189088,0,0.5939399999999999
134,deduction,847.8844954000003,6.156978985585555,4,0.32896
135,active interviews,34.347318,8.63621989783788,0,1.30126
136,netnography,0,11.727334985438429,0,0.0009599999999999999
137,data collection,10610.490293200004,3.258096538021482,261,24.52786
138,literature search,981.3395768999999,5.598421958998375,9,6.3879
139,theoretical saturation,107.50799100000002,7.552762084214147,0,0.7538
140,scepticism,1408.7859517999993,5.8664680569332965,33,0.19168
141,covariance,9364.2298799,3.80666248977032,10,2.46108
142,descriptive statistics,6484.5648568999995,3.80666248977032,2,3.7223599999999997
143,factor analysis,59826.471747100324,2.6390573296152584,10,41.61258
144,lisrel,1851.3441966999987,5.37989735354046,0,0.042480000000000004
145,statistical packages,1593.5624243000007,4.983606621708336,0,0.8776799999999999
146,multiple voices,398.2366365999998,6.77078942390898,5,0.17832
147,item response theory,20403.03183290004,4.356708826689592,0,0.82676
148,complexity theory,556.4244203999998,7.026426808699638,9,1.6867400000000001
149,practitioner research,840.8678236999997,5.966146739123692,11,3.03188
150,thick description,241.52748219999998,7.035268599281098,1,1.11916
151,documentary research,307.5639061000003,6.777646593635117,10,0.12182
152,qualitative data collection,262.0483055,6.799055862058796,5,2.56892
153,historical research,1464.0469069000005,5.204006687076795,134,4.66514
154,content analysis,4584.145563600006,4.454347296253506,30,23.03922
155,proxy variables,192.99787869999997,7.00850518208228,1,1.13032
156,types of variable,878.1448208999997,5.717027701406223,0,9.50388
157,box-and-whisker,461.78913300000016,6.703188113240862,0,0.28086
158,exploratory data analysis,3591.838319500001,4.770684624465665,3,2.47492
159,two-way analysis of variance,2665.0320793000005,4.882801922586372,0,6.924739999999999
160,planning research,1779.0928713000012,5.198497031265826,15,7.570139999999999
161,social constructionism,9399.327141100004,4.248495242049359,1,0.00828
162,second-order factors,6013.6046772999925,5.241747015059644,0,15.0152
163,semiparametric models,25.968712799999995,9.242420265439597,0,0.061720000000000004
164,random error,903.9320604999997,5.950642552587727,1,5.4741
165,least squares criterion,1295.635824,5.641907070938113,0,0.5706
166,positioning theory,526.4959916000001,6.843749949006225,0,0.3367
167,grant application,821.6296958999999,6.573680166960646,39,6.150519999999999
168,quality criteria,307.50822340000013,6.683360945766275,14,10.1923
169,principal components analysis,7321.592415400002,3.8918202981106265,2,3.2660400000000003
170,moderators,15142.951827200017,3.332204510175204,6,0.34114
171,cross-cultural research,12143.255218200014,3.688879454113936,2,1.8142200000000002
172,social desirability bias,11954.911731399981,4.110873864173311,0,0.3054
173,declaration of helsinki,527.3501199,5.780743515792329,4,3.26376
174,historiography,847.0344369,6.453624998892693,80,0.10664000000000001
175,large-scale research,1307.499116999999,5.288267030694535,18,18.82392
176,paradigms,9282.400989900008,3.6635616461296463,97,1.81082
177,multilevel analysis,7355.593639300002,4.31748811353631,7,0.68942
178,multiple analysis of variance,7744.538481399997,3.912023005428147,0,8.27788
179,postmodernism,2120.7895759,5.493061443340548,14,0.01466
180,relativism,1136.3752591000002,6.0112671744041615,4,0.02818
181,objectivism,391.17809670000014,7.05444965813294,0,0.00324
182,phenomenology,6270.303802700008,4.48863636973214,18,0.32874000000000003
183,rationalism,2692.1195739000004,5.181783550292085,1,0.016380000000000002
184,empiricism,578.9634296000003,6.293419278846482,7,0.0892
185,unobtrusive measures,429.2791164999999,6.324358962381313,0,0.046360000000000005
186,privacy,1764.4496015999994,5.68697535633982,81,1.2972
187,poststructuralism,268.39372270000007,7.162397497355718,2,0.0019399999999999999
188,comparative research,3418.4958573999957,4.290459441148391,55,30.1997
189,systematic review,3264.663756500004,5.081404364984463,297,8.72526
190,interviewer effects,542.8659759999998,7.238496840894365,0,0.5297
191,ordinal variables,362.8553056000002,6.597145701886651,0,0.63364
192,archival research,3785.224630500005,4.59511985013459,101,0.44922
193,stem-and-leaf,191.0209606,7.8559321997186125,0,0.70282
194,computer-assisted telephone interviews,249.61515430000003,7.492760300922379,0,0.12714
195,central tendency,978.0883341000003,6.375024819828098,1,3.10664
196,autobiography,1467.9916484999985,5.575949103146316,27,0.1539
197,biographical research,2145.3713505000023,5.062595033026967,9,0.14182
198,regression coefficient,4709.216883200007,4.430816798843313,0,4.11838
199,data archives,233.5638508,7.568379267836523,2,2.2593400000000003
200,conditional probability,1513.1366736,5.777652323222656,4,0.9511799999999999
201,program evaluation,2311.0924047999993,4.867534450455582,2,9.7784
202,meta-synthesis,107.25706100000001,8.038189179973202,3,1.50108
203,rational choice theory,733.1671722,6.0661080901037465,2,0.21048000000000003
204,polling,739.6137282999997,6.1158921254830325,17,0.052360000000000004
205,student's t-distribution,625.8807204999998,6.139884552226255,0,4.39752
206,nested variables,22.861783400000004,9.088172738001974,0,0.82562
207,kaiser-meyer-olkin test,763.2280800000008,6.1268691841141845,0,0.05458
208,data synthesis,323.58220989999967,7.409741954080922,4,17.801479999999998
209,split-half reliability,9772.628354999999,3.871201010907892,0,0.25244
210,pie charts,304.07479119999994,7.666690200080086,1,0.15944
211,control variables,6511.095277000001,4.110873864173311,0,12.54378
212,sensitive topics,13547.230897500007,4.189654742026425,1,0.7048800000000001
213,random allocation,4451.520977099999,4.0943445622221,1,2.99626
214,response rates,5756.131720299996,4.110873864173311,17,16.10642
215,single cases,3688.118876400003,4.997212273764115,0,26.22578
216,gender difference,27652.911190499955,3.218875824868201,2,6.27426
217,units of analysis,2185.0261601999987,5.075173815233828,3,14.48422
218,triangulation,543.9890361000001,6.828712071641682,16,0.3057
219,dichotomous variables,1285.0267153999985,5.375278407684165,0,1.10134
220,standard deviations,31011.85520490002,2.4849066497880004,7,6.16594
221,multiple realities,221.3802737999999,7.111512116496158,1,0.1806
222,event history analysis,723.6071547999996,6.22455842927536,1,3.75526
223,longitudinal analysis,1378.472926899998,5.393627546352364,15,7.282939999999999
224,longitudinal research,26148.663259400117,2.772588722239781,36,9.33398
225,constant comparison,1147.0503872999998,5.7589017738772785,1,9.59458
226,fieldwork,8450.40520869998,3.5553480614894135,255,0.41722
227,focus groups,14285.128515500004,4.143134726391533,188,11.351339999999999
228,thematic analysis,2486.239393900001,5.14166355650266,7,0.84924
229,dummy variables,3233.9431849999933,4.736198448394496,0,0.4941
230,questionnaire design,2164.6764067999993,4.7791234931115305,13,5.06604
231,mixed methods,4043.190816400004,5.062595033026967,68,17.41292
232,populations,17395.48482249991,2.9444389791664403,554,26.00852
233,materialism,1282.0994156000004,6.297109319933933,10,0.04092
234,latent variable models,1905.477370600001,5.170483995038151,1,0.7142
235,pre-test interviews,74.52181409999999,8.261526448396468,0,0.8701399999999999
236,estimation methods,1919.8219671999973,5.278114659230517,7,8.04606
237,maximum likelihood estimation,14636.413236999982,3.6635616461296463,2,1.3281399999999999
238,innovative methods,406.15937210000016,6.280395838960196,46,2.39794
239,latent trait analysis,11395.636323499995,4.84418708645859,0,0.19494
240,latent class analysis,9490.845667400004,5.697093486505405,3,0.7145
241,educational research,8084.146910200008,3.7376696182833684,93,6.919760000000001
242,demography,1299.749227999997,5.2094861528414205,40,1.7963799999999999
243,structured observation,136.8857883,7.507690077819903,0,1.4217600000000001
244,exploratory research,7775.240263299983,4.007333185232471,20,3.2969800000000005
245,translation,8678.42906139996,3.9318256327243257,602,9.37694
246,literature review,9351.555549400031,3.4011973816621555,156,20.821579999999997
247,bivariate regression,1170.6108984999996,5.4638318050256105,0,1.1062
248,ethical approval,1403.897334,4.919980925828125,9,3.8339199999999996
249,turn-taking,2151.595067100001,5.605802066295998,2,3.6712
250,psychometrics,8636.215127799987,3.688879454113936,4,1.46024
251,analysis of variance,32880.75745379997,2.3978952727983707,4,17.53506
252,canonical correlation,3041.9744853,5.594711379601837,0,1.09128
253,analysis of covariance,5898.278638300008,4.07753744390572,2,1.9897200000000002
254,logistic regression,17670.30970580003,3.8501476017100575,12,8.280380000000001
255,writing research,983.5745354999997,5.493061443340548,11,7.7499199999999995
256,log-linear analysis,2153.3373763,5.849324779946859,0,3.7188
257,secondary research,225.4842883,7.0630481633881725,12,30.793879999999998
258,meta-analysis,10754.819659000028,3.951243718581428,196,8.228639999999999
259,prior probability,441.62784250000016,6.695798917058491,0,5.03986
260,research design,4714.971145099992,4.007333185232471,80,38.45794
261,levene's test,671.3726313999998,6.2285110035911835,0,0.20148
262,heteroscedasticity,68.6991974,8.089482474360754,0,0.08562
263,cook's distance,293.2802992,7.152268856032539,0,0.30432
264,survey weighting,289.9304405000001,6.597145701886651,0,0.35974
265,cognitive interviews,1397.1180746000016,5.521460917862246,1,1.146
266,critical resistance analysis,501.14662130000005,8.731497794063243,0,5.99726
267,achievement tests,5824.5976714999915,4.4998096703302615,0,0.8362
268,survival analysis,702.592572,6.4846352356352535,8,21.16882
269,fuzzy set,347.72693710000016,7.632885505395132,3,0.27671999999999997
270,research impact,2363.2616418000034,4.90527477843843,241,29.812479999999997
271,non-linearity,349.02747440000013,6.866933284461883,9,1.3108799999999998
272,life history interviews,505.68234550000017,6.906754778648554,2,1.09382
273,random variables,781.3499387999997,6.204557762568692,0,5.426819999999999
274,theoretical sampling,242.5168938,6.956545443151567,0,1.8247200000000001
275,nodes,3033.2208192999988,6.018593214496232,39,8.28378
276,praxis,827.6727970000003,6.161207321695078,49,1.1229
277,marxism,2341.1322211999995,5.641907070938113,7,0.00946
278,key concepts in research,85.11786859999997,7.7016523626422275,0,1.9320599999999999
279,coding,15328.271197100017,3.2958368660043287,93,13.070319999999999
280,life history research,23446.244568700033,3.218875824868201,0,10.520660000000001
281,data quality and data management,531.3488901000002,6.333279628139692,0,7.78264
282,feasibility,2351.4916095000026,5.25227342804663,387,6.5155400000000006
283,boolean logic,112.1226673,8.013674142832683,2,0.06724
284,visual research,2852.615689600001,5.0369526024136295,6,13.20776
285,cross-national research,2058.551898900001,4.969813299576002,6,14.699879999999999
286,categorical data analysis,419.1946327,6.568077911411978,1,4.49552
287,communality,967.2623077,6.0867747269123065,2,0.0253
288,critique,4911.00675990002,4.127134385045092,262,0.70714
289,in-vivo coding,40.50511,8.54927308487965,0,3.6816199999999997
290,hermeneutic cycle,188.4920089000001,7.396335293800808,0,0.00322
291,yates' correction,146.35668360000003,7.775695749915244,0,0.20406
292,internal reliability,4993.1945544999935,4.290459441148391,1,2.53228
293,bayes' theorem,514.2558036999999,6.821107472256465,0,0.66196
294,critical hermeneutics,53.0786732,8.954673628956414,0,0.00822
295,geographic information systems,641.6259686000002,6.906754778648554,12,1.2699799999999999
296,transferability,101.58190040000001,7.6496926237115135,20,0.2626
297,outliers,2079.9055771000017,5.389071729816501,16,1.76508
298,interaction order,1154.7401300999998,5.513428746164983,0,13.938979999999999
299,underlying distribution,326.4570649,6.882437470997847,1,12.02918
300,statistical modelling,1756.6205739999994,5.198497031265826,40,1.21278
301,homogeneity of regression,154.94937090000005,7.450660796211539,0,0.60252
302,null hypothesis,3620.341480500001,4.955827057601262,1,3.23208
303,type i errors,20373.10274900003,3.80666248977032,0,6.81066
304,cochran's q test,158.14268209999997,8.013674142832683,0,0.13716
305,hypothetico-deductivist methods,181.8689995,7.583756300707113,0,0.0001
306,critical value,1650.3187657000005,5.902633333401368,6,14.553320000000001
307,anonymity,1974.0631750000007,5.488937726156687,15,0.57086
308,fluctuations,1442.9479650000014,5.594711379601837,48,4.13232
309,data sharing,385.02458190000016,7.194436851100335,25,5.615819999999999
310,cross-sectional surveys,1331.1750239,5.645446897643237,5,2.25664
311,parameter estimation,3200.269429400001,5.181783550292085,11,2.45682
312,expected frequencies,746.6866702999995,6.274762021241939,0,4.23284
313,frequency distribution,1896.0179989,5.2094861528414205,3,15.43152
314,wilks' lambda,2883.431293300001,5.44673737166631,0,0.051660000000000005
315,mean scores,24559.811453300117,2.9444389791664403,1,10.868139999999999
316,covariance structure models,112.109646,7.683863980256429,0,0.65512
317,hawthorne effect,666.1038708000002,6.16541785423142,1,0.18044000000000002
318,correspondence analysis,615.6255920999997,7.194436851100335,1,26.39568
319,cross-tabulation,436.78991140000016,6.4085287910594975,0,0.17456
320,panel studies,547.2299099999998,6.16541785423142,0,11.3973
321,degrees of freedom,4291.0429118999955,4.4188406077965965,10,1.72472
322,transcription,5317.501378299992,4.262679877041316,68,24.350179999999998
323,social interaction,36702.160941300004,2.8332133440562166,52,4.46812
324,word frequency counts,93.37931319999998,8.089482474360754,0,0.14035999999999998
325,diary methods,3961.851916600002,5.14166355650266,0,0.63884
326,nested models,924.7387315999997,5.746203190540153,0,1.24414
327,actor network theory,344.24207040000016,7.738052297689316,2,0.04752
328,multivariate models,7604.057187599998,3.7841896339182615,1,4.67382
329,discriminant analysis,3440.706209499992,5.0369526024136295,4,1.15904
330,sample size,24758.263666199946,2.8903717578961645,33,24.22886
331,discursive psychology,2002.0797660999988,5.932245187448013,1,0.0231
332,causation,9819.13397580002,3.871201010907892,27,1.2911
333,missing data,10818.447041400032,3.7376696182833684,15,9.228660000000001
334,interdisciplinarity,470.7666594,6.3473892096560105,14,0.02536
335,interpretive phenomenological analysis,4463.3143549000015,5.7430031878094825,0,0.020919999999999998
336,reflexivity,902.20005,6.253828811575472,17,0.0649
337,graphs,6839.019908500006,4.584967478670572,40,3.3812800000000003
338,researcher skills,28.9875271,8.731497794063243,0,0.5293399999999999
339,study skills,1832.0439772999987,5.793013608384143,8,5.06914
340,robust regression,2.1912127000000003,10.628714626559486,1,2.92366
341,propensity scores,965.3882018000003,7.307872780763706,1,0.59154
342,propensity score matching,378.04633620000016,8.143807976771484,6,0.30904
343,chebyshev's theorem,0,11.727334985438429,0,0.004520000000000001
344,transformative paradigm,7.2822549,9.935567445999537,0,0.03182
345,ethnographic writing,57.201932000000006,8.35983738064003,0,0.04616
346,evaluation design,650.0936512999998,5.942799375126701,3,12.681939999999999
347,realism,3261.655369900001,5.2574953720277815,44,0.20268
348,dissimilarity measures,113.9885549,8.17188200612782,0,0.18366
349,path coefficient,4055.600411100001,4.867534450455582,0,1.02934
350,psycho-analytic theory,8110.6119955000295,3.912023005428147,0,0.04138
351,biographical interpretive method,137.8456671,9.329367078397825,0,0.00264
352,non-parametric statistics,2058.767546700001,4.962844630259907,1,1.19334
353,randomized controlled trials,9011.361157000016,4.043051267834549,24,7.5686800000000005
354,research proposals,364.0946576000002,6.633318433280377,20,1.16418
355,phi coefficient,690.2695414000003,6.645090969505644,0,0.09854
356,growth curve modelling,1331.8066430999995,6.3613024775729965,0,0.18744
357,conversation analysis,3203.791670500002,4.7535901911063645,2,0.60372
358,reliability,45152.47378379974,2.3978952727983707,344,8.51436
359,external reliability,70.03258110000002,8.261526448396468,0,1.32358
360,general linear models,2554.2708835999993,5.0689042022202315,0,6.21772
361,regression analysis,48502.60672109988,2.5649493574615367,15,20.61374
362,statistical inference,1056.7017283999996,5.634789603169249,10,1.44448
363,measurement,129426.00701930068,1.3862943611198906,742,30.3438
364,time-series analysis,1394.2763715999986,5.793013608384143,15,16.90456
365,process evaluation,992.8667449000012,5.572154032177764,17,12.822239999999999
366,data analysis skills,11.370326899999998,9.935567445999537,0,3.3114199999999996
367,discourse analysis,3786.436846900001,5.0304379213924335,27,0.38934
368,ethnomethodology,87.10285539999998,8.261526448396468,2,0.0028399999999999996
369,student success,1019.1598692999997,5.6937321388027,4,1.41456
370,endogenous variables,550.7204830999997,6.413458957167357,1,1.30198
371,kruskal-wallis test,643.3078977999999,6.398594934535207,0,2.00256
372,audience ethnography,0,11.727334985438429,0,0.0065
373,probability sampling,684.7966385999995,5.976350909297934,0,2.96524
374,phenomenological analysis,2527.8849373000007,5.303304908059076,4,0.3844
375,feminism,19180.50332909996,4.043051267834549,44,0.06352000000000001
376,ethnography,2239.579616099999,5.111987788356544,51,0.1051
377,postpositivism,166.92406519999997,7.632885505395132,0,0.0006799999999999999
378,panel data,353.66454149999987,6.590301048196688,12,12.05964
379,structural equation modelling,18838.532656800027,3.58351893845611,5,0.22712
380,econometrics,15.823986900000001,9.424725681616492,27,0.04186
381,path analysis,3774.2058155,4.9344739331306915,4,4.34558
382,simulation,12524.303836099929,4.02535169073515,436,9.98284
383,hypothesis testing,15019.168399799932,2.9444389791664403,4,6.646539999999999
384,likelihood functions,1217.5823769999995,5.924255797414531,0,2.6888
385,cochrane collaboration,266.94354619999984,6.914730892718563,29,2E-05
386,nuisance variables,117.75716999999996,7.616283561580385,0,0.13408
387,chi-square test,15844.884426099981,3.332204510175204,0,5.25256
388,realist synthesis,0,11.727334985438429,0,0.01602
389,moderation,40.91546930000001,8.469052816088304,21,0.39104
390,mediation,198.74862050000007,6.97354301952014,90,1.33732
391,photovoice,157.49138350000004,8.83695515733143,0,0.0153
392,sequential design,270.60787540000007,7.204892510204673,2,2.24402
393,concept mapping,495.03152440000014,7.370230641807081,0,1.21116
394,total survey error,0,11.727334985438429,0,1.8383200000000002
395,recruiting participants,4474.298023699987,4.043051267834549,2,0.75876
396,access,5152.577851100034,4.127134385045092,2044,47.36184
397,gatekeepers,231.442654,7.478734825567875,9,0.1492
398,independent variables,21478.804291800065,2.9444389791664403,3,10.40882
399,data mining,215.9210909,7.320526962272742,38,1.45916
400,summated scales,15029.408017899963,3.1354942159291497,0,0.01944
401,eigenvalues,1341.0171248999989,5.5174528964647065,2,0.50666
402,philosophy of research,1869.2405111999994,4.867534450455582,3,1.1571200000000001
403,intelligence tests,9862.555666300024,4.043051267834549,0,1.32572
404,social structures,12097.668593600005,3.5263605246161616,18,2.01694
405,path diagram,523.7133489,6.284134161070802,0,0.5511
406,delphi method,74.81567199999998,8.508354242749032,4,0.17172
407,bartlett's test,784.9939621000003,5.942799375126701,0,0.30574
408,bayesian statistics,2353.8925324999977,5.525452939131784,11,0.76218
409,research questions,9037.031239100032,3.6635616461296463,113,15.51242
410,collaborative research,5265.314137699998,4.3694478524670215,382,3.56544
411,qualitative evaluation,380.83459100000056,6.3421214187211525,17,2.98656
412,evaluation,35866.33080839972,2.6390573296152584,2204,50.0685
413,policy research,1341.3405912999986,5.288267030694535,192,9.01592
414,foucauldian discourse analysis,119.47762729999998,8.230577217146454,0,0.00472
415,q methodology,612.5795578000002,6.689599269178967,2,1.32912
416,r statistical package,612.5225584999997,6.045005314036013,0,3.7857800000000004
417,confidence intervals,16917.654975899968,3.332204510175204,17,7.1606
418,convergent validity,9139.834745600021,3.912023005428147,0,0.48778
419,objectivity,1777.8977563000012,5.181783550292085,28,0.32038
420,visual ethnography,13.743276999999999,9.781376414141157,3,0.01084
421,official statistics,105.7371759,7.632885505395132,24,1.9316799999999998
422,constructivism,236.66719410000002,7.183870715062453,3,0.01916
423,media analysis,236.38180930000004,6.965080345601407,13,15.132079999999998
424,public opinion research,160.3016023,7.249925536717987,4,2.45872
425,kolmogorov-smirnov test,579.5076091999998,6.315358001522335,0,0.9309
426,policy evaluation,530.8604141,6.432940092739179,25,3.1245
427,histograms,470.04679859999976,6.695798917058491,2,2.00904
428,structured interviews,4084.203436300001,4.454347296253506,75,1.9242
429,sampling,93380.94584720084,1.6094379124341005,198,14.79144
430,latent variables,9244.875703599979,4.465908118654584,2,0.89336
431,symbolic interactionism,337.4492253999999,6.922643891475888,0,0.01278
432,pragmatism,649.2206739000002,6.437751649736401,17,0.05156
433,denotation,282.2013128,7.507690077819903,0,0.01518
434,protocols,4937.195110199989,4.454347296253506,373,16.04082
